indicator,location,value
Percentage of pregnant women tested for HIV during antenatal care,Nasarawa,11.9
Percentage of pregnant women tested for HIV during antenatal care,Niger,20.4
Percentage of pregnant women tested for HIV during antenatal care,Ogun,19.8
Percentage of pregnant women tested for HIV during antenatal care,Ondo,18.5
Percentage of pregnant women tested for HIV during antenatal care,Osun,16.6
Percentage of pregnant women tested for HIV during antenatal care,Oyo,12.7
Percentage of pregnant women tested for HIV during antenatal care,Plateau,11.6
Percentage of pregnant women tested for HIV during antenatal care,Rivers,13
Percentage of pregnant women tested for HIV during antenatal care,Sokoto,13.2
Percentage of pregnant women tested for HIV during antenatal care,Taraba,8
Percentage of pregnant women tested for HIV during antenatal care,Yobe,14.3
Percentage of pregnant women tested for HIV during antenatal care,Zamfara,20.8
Percentage of people age 15-49 years who have been tested for HIV and know their results,North-Central,15.4
Percentage of people age 15-49 years who have been tested for HIV and know their results,North-East,16.7
Percentage of people age 15-49 years who have been tested for HIV and know their results,North-West,19.5
Percentage of people age 15-49 years who have been tested for HIV and know their results,South-East,16.3
Percentage of people age 15-49 years who have been tested for HIV and know their results,South-South,12.1
Percentage of people age 15-49 years who have been tested for HIV and know their results,South-West,11.1
Percentage of people age 15-49 years who have been tested for HIV and know their results,Abia,11.7
Percentage of people age 15-49 years who have been tested for HIV and know their results,Adamawa,19.7
Percentage of people age 15-49 years who have been tested for HIV and know their results,Akwa Ibom,9.4
Percentage of people age 15-49 years who have been tested for HIV and know their results,Anambra,13.9
Percentage of people age 15-49 years who have been tested for HIV and know their results,Bauchi,9.4
Percentage of people age 15-49 years who have been tested for HIV and know their results,Bayelsa,10.8
Percentage of people age 15-49 years who have been tested for HIV and know their results,Benue,16.9
Percentage of people age 15-49 years who have been tested for HIV and know their results,Borno,9.4
Percentage of people age 15-49 years who have been tested for HIV and know their results,Cross River,10.7
Percentage of people age 15-49 years who have been tested for HIV and know their results,Delta,13.4
Percentage of people age 15-49 years who have been tested for HIV and know their results,Ebonyi,14.8
Percentage of people age 15-49 years who have been tested for HIV and know their results,Edo,12.2
Percentage of people age 15-49 years who have been tested for HIV and know their results,Ekiti,16.7
Percentage of people age 15-49 years who have been tested for HIV and know their results,Enugu,17.7
Percentage of people age 15-49 years who have been tested for HIV and know their results,Gombe,8
Percentage of people age 15-49 years who have been tested for HIV and know their results,Imo,20.8
Percentage of people age 15-49 years who have been tested for HIV and know their results,Jigawa,18.3
Percentage of people age 15-49 years who have been tested for HIV and know their results,Kaduna,19.4
Percentage of people age 15-49 years who have been tested for HIV and know their results,Kano,20.2
Percentage of people age 15-49 years who have been tested for HIV and know their results,Katsina,14.5
Percentage of people age 15-49 years who have been tested for HIV and know their results,Kebbi,13
Percentage of people age 15-49 years who have been tested for HIV and know their results,Kogi,17.2
Percentage of people age 15-49 years who have been tested for HIV and know their results,Kwara,12.6
Percentage of people age 15-49 years who have been tested for HIV and know their results,Lagos,20.5
Percentage of people age 15-49 years who have been tested for HIV and know their results,Nasarawa,18.6
Percentage of people age 15-49 years who have been tested for HIV and know their results,Niger,19.3
Percentage of people age 15-49 years who have been tested for HIV and know their results,Ogun,19.3
Percentage of people age 15-49 years who have been tested for HIV and know their results,Ondo,13.9
Percentage of people age 15-49 years who have been tested for HIV and know their results,Osun,13.2
Percentage of people age 15-49 years who have been tested for HIV and know their results,Oyo,10.6
Percentage of people age 15-49 years who have been tested for HIV and know their results,Plateau,17.6
Percentage of people age 15-49 years who have been tested for HIV and know their results,Rivers,19.4
Percentage of people age 15-49 years who have been tested for HIV and know their results,Sokoto,13.8
Percentage of people age 15-49 years who have been tested for HIV and know their results,Taraba,20.2
Percentage of people age 15-49 years who have been tested for HIV and know their results,Yobe,14.5
Percentage of people age 15-49 years who have been tested for HIV and know their results,Zamfara,13
Percentage of people age 15-49 years who have been tested for HIV and know their results,FCT,14.2
Percentage of people age 15-49 years who have been tested for HIV and know their results,Nigeria,19.3
Availability of Skilled Birth Attendants excluding CHEWs,North-Central,16
Availability of Skilled Birth Attendants excluding CHEWs,North-East,16
Availability of Skilled Birth Attendants excluding CHEWs,North-West,16
Availability of Skilled Birth Attendants excluding CHEWs,South-East,16
Availability of Skilled Birth Attendants excluding CHEWs,South-South,16
Availability of Skilled Birth Attendants excluding CHEWs,South-West,16
Availability of Skilled Birth Attendants excluding CHEWs,Nigeria,16
Percentage of Primary Health facilities offering STI Services,Nigeria,16
Percentage of Primary Health facilities offering STI Services,North-Central,16
Percentage of Primary Health facilities offering STI Services,North-East,16
Percentage of Primary Health facilities offering STI Services,North-West,16
Percentage of Primary Health facilities offering STI Services,South-East,16
Percentage of Primary Health facilities offering STI Services,South-South,28.6
Percentage of Primary Health facilities offering STI Services,South-West,16
Percentage of Primary Health facilities offering STI Services,Abia,27.8
Percentage of Primary Health facilities offering STI Services,Akwa Ibom,16
Percentage of Primary Health facilities offering STI Services,Anambra,25.6
Percentage of Primary Health facilities offering STI Services,Bauchi,26.5
Percentage of Primary Health facilities offering STI Services,Bayelsa,28.1
Percentage of Primary Health facilities offering STI Services,Benue,27.2
Percentage of Primary Health facilities offering STI Services,Borno,27.9
Percentage of Primary Health facilities offering STI Services,Cross River,26.2
Percentage of Primary Health facilities offering STI Services,Delta,25
Percentage of Primary Health facilities offering STI Services,Ebonyi,26
Percentage of Primary Health facilities offering STI Services,Edo,19
Percentage of Primary Health facilities offering STI Services,Ekiti,18.7
Percentage of Primary Health facilities offering STI Services,Enugu,22.9
Percentage of Primary Health facilities offering STI Services,FCT,28.6
Percentage of Primary Health facilities offering STI Services,Gombe,27.3
Percentage of Primary Health facilities offering STI Services,Imo,28.8
Percentage of Primary Health facilities offering STI Services,Jigawa,19.8
Percentage of Primary Health facilities offering STI Services,Kaduna,16
Percentage of Primary Health facilities offering STI Services,Kano,26.4
Percentage of Primary Health facilities offering STI Services,Katsina,16
Percentage of Primary Health facilities offering STI Services,Kebbi,16
Percentage of Primary Health facilities offering STI Services,Kogi,23.6
Percentage of Primary Health facilities offering STI Services,Kwara,16
Percentage of Primary Health facilities offering STI Services,Lagos,20.8
Percentage of Primary Health facilities offering STI Services,Nasarawa,22.5
Percentage of Primary Health facilities offering STI Services,Niger,16
Percentage of Primary Health facilities offering STI Services,Ogun,18.1
Percentage of Primary Health facilities offering STI Services,Ondo,16
Percentage of Primary Health facilities offering STI Services,Osun,23.4
Percentage of Primary Health facilities offering STI Services,Oyo,16
Percentage of Primary Health facilities offering STI Services,Plateau,16
Percentage of Primary Health facilities offering STI Services,Rivers,27.6
Percentage of Primary Health facilities offering STI Services,Sokoto,28.7
Percentage of Primary Health facilities offering STI Services,Taraba,16
Percentage of Primary Health facilities offering STI Services,Yobe,16
Percentage of Primary Health facilities offering STI Services,Zamfara,16
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,Nigeria,22.9
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,North-Central,28.6
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,North-East,28.3
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,North-West,22.6
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,South-East,22
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,South-South,25.7
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,South-West,27.4
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,Abia,16
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,Adamawa,26
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,Akwa Ibom,26.8
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,Anambra,21.7
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,Bauchi,26.2
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,Bayelsa,22.6
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,Benue,16
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,Borno,20.8
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,Cross River,17.6
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,Delta,20.3
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,Ebonyi,26.7
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,Edo,18.9
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,Ekiti,16
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,Enugu,16
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,FCT,18
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,Gombe,23.9
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,Imo,18.2
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,Jigawa,23.8
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,Kaduna,17.5
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,Kano,23.7
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,Katsina,19.6
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,Kebbi,18.8
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,Kogi,18.6
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,Kwara,18.3
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,Lagos,16
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,Nasarawa,21.3
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,Niger,24.9
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,Ogun,21.1
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,Ondo,19.5
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,Osun,27.5
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,Oyo,20.6
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,Plateau,16
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,Rivers,28.8
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,Sokoto,24.2
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,Taraba,27.7
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,Yobe,28.6
Percentage of all Primary Health Facilities Offering TB Diagnosis and Management,Zamfara,16
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,Nigeria,27.4
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,North-Central,28.1
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,North-East,26.2
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,North-West,28.5
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,South-East,23.3
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,South-South,19.6
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,South-West,26.2
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,Abia,26.2
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,Adamawa,27.5
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,Akwa Ibom,28.4
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,Bauchi,24.9
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,Bayelsa,16
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,Benue,22.9
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,Borno,28.6
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,Cross River,25.4
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,Delta,27.3
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,Ebonyi,21.2
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,Edo,21.8
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,Ekiti,16
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,Enugu,22
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,Jigawa,16
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,Kaduna,16
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,Kano,19.5
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,Katsina,22.8
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,Kebbi,23.2
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,Kogi,16
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,Kwara,24.2
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,Nasarawa,24.3
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,Niger,23.6
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,Ogun,16
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,Osun,16
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,Oyo,16
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,Plateau,28.7
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,Rivers,25.1
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,Sokoto,16
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,Taraba,28.7
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,Yobe,27
Percentage of Primary Health Facilities that Offer HIV Testing as Part of Routine ANC Services,Zamfara,24.4
Percentage of Primary Health Facilities that Provide ANC Services,North-West,26.3
Percentage of Primary Health Facilities that Provide ANC Services,Bayelsa,23
Percentage of Primary Health Facilities that Provide ANC Services,Borno,19.2
Percentage of Primary Health Facilities that Provide ANC Services,Ekiti,23.2
Percentage of Primary Health Facilities that Provide ANC Services,Katsina,28
Percentage of Primary Health Facilities that Provide ANC Services,Kebbi,23.8
Percentage of Primary Health Facilities that Provide ANC Services,Kogi,24.3
Percentage of Primary Health Facilities that Provide ANC Services,Niger,28.7
Percentage of Primary Health Facilities that Provide ANC Services,Plateau,25.7
Percentage of Primary Health Facilities that Provide ANC Services,Rivers,18.8
Percentage of Primary Health Facilities that Provide ANC Services,Taraba,19.2
Percentage of Primary Health Facilities that Provide ANC Services,Zamfara,17.4
Percentage of Primary Health Facilities that have Malaria test Capacity,North-Central,21.9
Percentage of Primary Health Facilities that have Malaria test Capacity,North-East,18.8
Percentage of Primary Health Facilities that have Malaria test Capacity,North-West,26.6
Percentage of Primary Health Facilities that have Malaria test Capacity,South-East,28
Percentage of Primary Health Facilities that have Malaria test Capacity,South-South,23.3
Percentage of Primary Health Facilities that have Malaria test Capacity,Nigeria,22
Percentage of Primary Health Facilities that have Malaria test Capacity,Abia,27.2
Percentage of Primary Health Facilities that have Malaria test Capacity,Bayelsa,24.6
Percentage of Primary Health Facilities that have Malaria test Capacity,Borno,22.9
Percentage of Primary Health Facilities that have Malaria test Capacity,Cross River,21.5
Percentage of Primary Health Facilities that have Malaria test Capacity,Delta,18.8
Percentage of Primary Health Facilities that have Malaria test Capacity,Ebonyi,24.3
Percentage of Primary Health Facilities that have Malaria test Capacity,Edo,25.8
Percentage of Primary Health Facilities that have Malaria test Capacity,Enugu,23
Percentage of Primary Health Facilities that have Malaria test Capacity,FCT,26
Percentage of Primary Health Facilities that have Malaria test Capacity,Gombe,27.9
Percentage of Primary Health Facilities that have Malaria test Capacity,Kaduna,26.2
Percentage of Primary Health Facilities that have Malaria test Capacity,Katsina,17.5
Percentage of Primary Health Facilities that have Malaria test Capacity,Kogi,16
Percentage of Primary Health Facilities that have Malaria test Capacity,Kwara,20.1
Percentage of Primary Health Facilities that have Malaria test Capacity,Niger,18.1
Percentage of Primary Health Facilities that have Malaria test Capacity,Plateau,16
Percentage of Primary Health Facilities that have Malaria test Capacity,Rivers,26.7
Percentage of Primary Health Facilities that have Malaria test Capacity,Taraba,17.4
Percentage of Primary Health Facilities that have Malaria test Capacity,Yobe,26.6
Percentage of Primary Health Facilities with Capacity to Provide Early Infant Diagnosis Services,Nigeria,22.6
Percentage of Primary Health Facilities with Capacity to Provide Early Infant Diagnosis Services,North-Central,18.8
Percentage of Primary Health Facilities with Capacity to Provide Early Infant Diagnosis Services,North-East,17.4
Percentage of Primary Health Facilities with Capacity to Provide Early Infant Diagnosis Services,North-West,28
Percentage of Primary Health Facilities with Capacity to Provide Early Infant Diagnosis Services,South-East,28
Percentage of Primary Health Facilities with Capacity to Provide Early Infant Diagnosis Services,South-South,28
Percentage of Primary Health Facilities with Capacity to Provide Early Infant Diagnosis Services,South-West,12.8
Percentage of Primary Health Facilities with Capacity to Provide Early Infant Diagnosis Services,Adamawa,23.3
Percentage of Primary Health Facilities with Capacity to Provide Early Infant Diagnosis Services,Anambra,18.3
Percentage of Primary Health Facilities with Capacity to Provide Early Infant Diagnosis Services,Benue,12.3
Percentage of Primary Health Facilities with Capacity to Provide Early Infant Diagnosis Services,Borno,31.2
Percentage of Primary Health Facilities with Capacity to Provide Early Infant Diagnosis Services,Cross River,6.9
Percentage of Primary Health Facilities with Capacity to Provide Early Infant Diagnosis Services,Delta,21.2
Percentage of Primary Health Facilities with Capacity to Provide Early Infant Diagnosis Services,Edo,1.9
Percentage of Primary Health Facilities with Capacity to Provide Early Infant Diagnosis Services,Ekiti,1.2
Percentage of Primary Health Facilities with Capacity to Provide Early Infant Diagnosis Services,Jigawa,18.1
Percentage of Primary Health Facilities with Capacity to Provide Early Infant Diagnosis Services,Kaduna,15.4
Percentage of Primary Health Facilities with Capacity to Provide Early Infant Diagnosis Services,Kwara,9.3
Percentage of Primary Health Facilities with Capacity to Provide Early Infant Diagnosis Services,Lagos,9.2
Percentage of Primary Health Facilities with Capacity to Provide Early Infant Diagnosis Services,Nasarawa,17.6
Percentage of Primary Health Facilities with Capacity to Provide Early Infant Diagnosis Services,Osun,3.7
Percentage of Primary Health Facilities with Capacity to Provide Early Infant Diagnosis Services,Oyo,3.8
Percentage of Primary Health Facilities with Capacity to Provide Early Infant Diagnosis Services,Plateau,7.4
Percentage of Primary Health Facilities with Capacity to Provide Early Infant Diagnosis Services,Sokoto,4.2
Percentage of Primary Health Facilities with Capacity to Provide Early Infant Diagnosis Services,Taraba,12.5
Percentage of Primary Health Facilities with Capacity to Provide Early Infant Diagnosis Services,Yobe,3.7
Percentage of Health Facilities that Conduct On-Site Early Infant Diagnosis Test,Nigeria,28.4
Percentage of Health Facilities that Conduct On-Site Early Infant Diagnosis Test,North-Central,6.6
Percentage of Health Facilities that Conduct On-Site Early Infant Diagnosis Test,North-West,4.8
Percentage of Health Facilities that Conduct On-Site Early Infant Diagnosis Test,South-South,4
Percentage of Health Facilities that Conduct On-Site Early Infant Diagnosis Test,South-West,1.3
Percentage of Health Facilities that Conduct On-Site Early Infant Diagnosis Test,Adamawa,15.6
Percentage of Health Facilities that Conduct On-Site Early Infant Diagnosis Test,Anambra,17.3
Percentage of Health Facilities that Conduct On-Site Early Infant Diagnosis Test,Benue,7.2
Percentage of Health Facilities that Conduct On-Site Early Infant Diagnosis Test,Borno,16.2
Percentage of Health Facilities that Conduct On-Site Early Infant Diagnosis Test,Cross River,8.8
Percentage of Health Facilities that Conduct On-Site Early Infant Diagnosis Test,Delta,6.5
Percentage of Health Facilities that Conduct On-Site Early Infant Diagnosis Test,Ebonyi,2.6
Percentage of Health Facilities that Conduct On-Site Early Infant Diagnosis Test,Enugu,18.8
Percentage of Health Facilities that Conduct On-Site Early Infant Diagnosis Test,Jigawa,11.6
Percentage of Health Facilities that Conduct On-Site Early Infant Diagnosis Test,Kaduna,15.9
Percentage of Health Facilities that Conduct On-Site Early Infant Diagnosis Test,Kano,7.7
Percentage of Health Facilities that Conduct On-Site Early Infant Diagnosis Test,Kebbi,1.8
Percentage of Health Facilities that Conduct On-Site Early Infant Diagnosis Test,Kwara,2.4
Percentage of Health Facilities that Conduct On-Site Early Infant Diagnosis Test,Lagos,18.5
Percentage of Health Facilities that Conduct On-Site Early Infant Diagnosis Test,Nasarawa,11.5
Percentage of Health Facilities that Conduct On-Site Early Infant Diagnosis Test,Osun,6.4
Percentage of Health Facilities that Conduct On-Site Early Infant Diagnosis Test,Oyo,9.5
Percentage of Health Facilities that Conduct On-Site Early Infant Diagnosis Test,Plateau,16.7
Percentage of Health Facilities that Conduct On-Site Early Infant Diagnosis Test,Rivers,3.1
Percentage of Health Facilities that Conduct On-Site Early Infant Diagnosis Test,Sokoto,6.9
Percentage of Health Facilities that Conduct On-Site Early Infant Diagnosis Test,Taraba,20.6
Percentage of Health Facilities that Conduct On-Site Early Infant Diagnosis Test,Yobe,12.9
Percentage of Health Facilities that Conduct On-Site Early Infant Diagnosis Test,Zamfara,2.3
Percentage of Health Facilities with Capacity to Conduct Early Infant Diagnosis Test,Nigeria,35.7
Percentage of Health Facilities with Capacity to Conduct Early Infant Diagnosis Test,North-Central,12.3
Percentage of Health Facilities with Capacity to Conduct Early Infant Diagnosis Test,North-East,12.4
Percentage of Health Facilities with Capacity to Conduct Early Infant Diagnosis Test,North-West,9.6
Percentage of Health Facilities with Capacity to Conduct Early Infant Diagnosis Test,South-South,15.4
Percentage of Health Facilities with Capacity to Conduct Early Infant Diagnosis Test,South-West,28.7
Percentage of Health Facilities with Capacity to Conduct Early Infant Diagnosis Test,Adamawa,29.3
Percentage of Health Facilities with Capacity to Conduct Early Infant Diagnosis Test,Anambra,24.2
Percentage of Health Facilities with Capacity to Conduct Early Infant Diagnosis Test,Bauchi,2
Percentage of Health Facilities with Capacity to Conduct Early Infant Diagnosis Test,Benue,13.4
Percentage of Health Facilities with Capacity to Conduct Early Infant Diagnosis Test,Borno,33
Percentage of Health Facilities with Capacity to Conduct Early Infant Diagnosis Test,Cross River,11.5
Percentage of Health Facilities with Capacity to Conduct Early Infant Diagnosis Test,Delta,21.2
Percentage of Health Facilities with Capacity to Conduct Early Infant Diagnosis Test,Ebonyi,5.1
Percentage of Health Facilities with Capacity to Conduct Early Infant Diagnosis Test,Edo,10.8
Percentage of Health Facilities with Capacity to Conduct Early Infant Diagnosis Test,Ekiti,3.9
Percentage of Health Facilities with Capacity to Conduct Early Infant Diagnosis Test,Enugu,18.8
Percentage of Health Facilities with Capacity to Conduct Early Infant Diagnosis Test,Gombe,3
Percentage of Health Facilities with Capacity to Conduct Early Infant Diagnosis Test,Jigawa,19.4
Percentage of Health Facilities with Capacity to Conduct Early Infant Diagnosis Test,Kaduna,25.4
Percentage of Health Facilities with Capacity to Conduct Early Infant Diagnosis Test,Kano,13.7
Percentage of Health Facilities with Capacity to Conduct Early Infant Diagnosis Test,Kebbi,7.6
Percentage of Health Facilities with Capacity to Conduct Early Infant Diagnosis Test,Kwara,8.9
Percentage of Health Facilities with Capacity to Conduct Early Infant Diagnosis Test,Lagos,25.5
Percentage of Health Facilities with Capacity to Conduct Early Infant Diagnosis Test,Nasarawa,21.7
Percentage of Health Facilities with Capacity to Conduct Early Infant Diagnosis Test,Ogun,6.3
Percentage of Health Facilities with Capacity to Conduct Early Infant Diagnosis Test,Osun,7.8
Percentage of Health Facilities with Capacity to Conduct Early Infant Diagnosis Test,Oyo,38.6
Percentage of Health Facilities with Capacity to Conduct Early Infant Diagnosis Test,Plateau,51.4
Percentage of Health Facilities with Capacity to Conduct Early Infant Diagnosis Test,Rivers,29.7
Percentage of Health Facilities with Capacity to Conduct Early Infant Diagnosis Test,Sokoto,39.5
Percentage of Health Facilities with Capacity to Conduct Early Infant Diagnosis Test,Taraba,39.1
Percentage of Health Facilities with Capacity to Conduct Early Infant Diagnosis Test,Yobe,33.8
Percentage of Health Facilities with Capacity to Conduct Early Infant Diagnosis Test,Zamfara,36.7
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,Nigeria,29
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,North-Central,36.7
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,North-East,37.6
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,North-West,55.1
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,South-East,44.1
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,South-South,25.4
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,South-West,60.6
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,Abia,18.5
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,Adamawa,31.5
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,Akwa Ibom,11.1
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,Anambra,38.4
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,Bauchi,52.3
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,Bayelsa,68
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,Benue,38.1
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,Borno,36.2
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,Cross River,17.9
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,Delta,39.6
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,Ebonyi,41.7
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,Edo,64.8
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,Ekiti,40.8
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,Enugu,20.5
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,FCT,27.1
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,Gombe,43.6
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,Imo,51.7
Percentage of HFs Offering eMTCT Services that had Nevirapine Syrup,Jigawa,31.7
